,employee_id,satisfaction_level,last_evaluation,number_project,avg_monthly_hours,company_tenure,work_accident,left,promotion_last_5years,department,salary
58,59,0.38,0.54,2,128,3,0,1,0,engineering,low
59,60,0.85,1.0,4,225,5,0,1,0,engineering,low
60,61,0.85,0.91,5,226,5,0,1,0,management,medium
61,62,0.11,0.93,7,308,4,0,1,0,IT,medium
62,63,0.1,0.95,6,244,5,0,1,0,IT,medium
63,64,0.36,0.56,2,132,3,0,1,0,IT,medium
64,65,0.11,0.94,6,286,4,0,1,0,IT,medium
65,66,0.81,0.7,6,161,4,0,1,0,IT,medium
66,67,0.43,0.54,2,153,3,0,1,0,product_mng,medium
67,68,0.9,0.98,4,264,6,0,1,0,product_mng,medium
68,69,0.76,0.86,5,223,5,1,1,0,product_mng,medium
69,70,0.43,0.5,2,135,3,0,1,0,product_mng,medium
70,71,0.74,0.99,2,277,3,0,1,0,IT,medium
71,72,0.09,0.77,5,275,4,0,1,0,product_mng,medium
72,73,0.45,0.49,2,149,3,0,1,0,product_mng,high
73,74,0.09,0.87,7,295,4,0,1,0,product_mng,low
74,75,0.11,0.97,6,277,4,0,1,0,product_mng,medium
75,76,0.11,0.79,7,306,4,0,1,0,product_mng,medium
76,77,0.1,0.83,6,295,4,0,1,0,product_mng,medium
77,78,0.4,0.54,2,137,3,0,1,0,marketing,medium
78,79,0.43,0.56,2,157,3,0,1,0,sales,low
79,80,0.39,0.56,2,142,3,0,1,0,accounting,low
80,81,0.45,0.54,2,140,3,0,1,0,support,low
81,82,0.38,0.49,2,151,3,0,1,0,engineering,low
82,83,0.79,0.59,4,139,3,0,1,1,management,low
83,84,0.84,0.85,4,249,6,0,1,0,marketing,low
84,85,0.11,0.77,6,291,4,0,1,0,marketing,low
85,86,0.11,0.87,6,305,4,0,1,0,marketing,low
86,87,0.17,0.84,5,232,3,0,1,0,sales,low
87,88,0.44,0.45,2,132,3,0,1,0,sales,low
88,89,0.37,0.57,2,130,3,0,1,0,sales,low
89,90,0.1,0.79,6,291,4,0,1,0,sales,low
90,91,0.4,0.5,2,130,3,0,1,0,sales,low
91,92,0.89,1.0,5,246,5,0,1,0,sales,low
92,93,0.42,0.48,2,143,3,0,1,0,sales,low
93,94,0.46,0.55,2,129,3,0,1,0,sales,low
94,95,0.09,0.83,6,255,4,0,1,0,sales,low
95,96,0.37,0.51,2,155,3,0,1,0,sales,low
96,97,0.1,0.77,6,265,4,0,1,0,sales,low
97,98,0.1,0.84,6,279,4,0,1,0,sales,low
98,99,0.11,0.97,6,284,4,0,1,0,sales,low
99,100,0.9,1.0,5,221,6,0,1,0,sales,medium
100,101,0.38,0.52,2,154,3,0,1,0,sales,medium
101,102,0.36,0.52,2,147,3,0,1,0,sales,medium
102,103,0.42,0.46,2,150,3,0,1,0,sales,medium
103,104,0.09,0.94,7,267,4,0,1,0,sales,medium
104,105,0.43,0.52,2,158,3,0,1,0,sales,medium
105,106,0.24,0.46,7,224,5,0,1,0,accounting,medium
106,107,0.91,1.0,4,257,5,0,1,0,accounting,medium
107,108,0.44,0.5,2,148,3,0,1,0,accounting,medium
108,109,0.71,0.87,3,177,4,0,1,0,hr,medium
109,110,0.4,0.49,2,155,3,0,1,0,hr,medium
110,111,0.43,0.47,2,144,3,0,1,0,hr,medium
111,112,0.09,0.85,6,289,4,0,1,0,hr,high
112,113,0.43,0.52,2,160,3,0,1,0,engineering,low
113,114,0.9,0.96,4,258,5,0,1,0,engineering,medium
114,115,0.84,1.0,5,234,5,0,1,0,engineering,medium
115,116,0.37,0.48,2,137,3,0,1,0,engineering,medium
116,117,0.86,0.68,5,263,2,0,1,0,engineering,medium
117,118,0.11,0.84,6,251,4,0,1,0,engineering,low
118,119,0.37,0.57,2,133,3,0,1,0,engineering,low
119,120,0.4,0.46,2,132,3,0,1,0,engineering,low
120,121,0.14,0.62,4,158,4,1,1,0,engineering,low
121,122,0.4,0.46,2,135,3,0,1,0,engineering,low
122,123,0.75,1.0,4,216,6,0,1,0,engineering,low
123,124,0.11,0.84,6,300,5,1,1,0,support,low
124,125,0.46,0.49,2,138,3,0,1,0,support,low
125,126,0.11,0.92,6,260,4,0,1,0,support,low
126,127,0.38,0.49,2,132,3,0,1,0,support,low
127,128,0.7,0.89,3,183,5,0,1,0,support,low
128,129,0.09,0.82,6,250,4,0,1,0,support,low
129,130,0.37,0.45,2,151,3,0,1,0,support,low
130,131,0.1,0.83,6,292,4,0,1,0,support,low
131,132,0.38,0.57,2,140,3,0,1,0,support,low
132,133,0.9,1.0,5,221,5,0,1,0,support,low
133,134,0.44,0.51,2,138,3,0,1,0,support,low
134,135,0.36,0.5,2,132,3,0,1,0,engineering,low
135,136,0.31,0.84,7,133,5,0,1,0,engineering,low
136,137,0.1,0.84,6,283,4,1,1,0,engineering,low
137,138,0.42,0.48,2,129,3,0,1,0,management,low
138,139,0.74,1.0,4,249,5,0,1,0,IT,low
139,140,0.73,0.87,5,257,5,0,1,0,IT,low
140,141,0.09,0.96,6,245,4,0,1,0,IT,low
141,142,0.45,0.53,2,155,3,0,1,0,IT,low
142,143,0.11,0.8,6,256,4,0,1,0,IT,low
143,144,0.37,0.47,2,152,3,0,1,0,product_mng,low
144,145,0.84,0.99,4,267,5,0,1,0,product_mng,low
145,146,0.41,0.46,2,151,3,0,1,0,product_mng,low
146,147,0.76,0.92,4,239,5,0,1,0,product_mng,low
147,148,0.11,0.87,6,306,4,0,1,0,IT,low
148,149,0.84,0.88,4,263,5,1,1,0,marketing,low
149,150,0.39,0.5,2,147,3,0,1,0,marketing,low
150,151,0.11,0.91,6,278,4,0,1,0,marketing,low
151,152,0.45,0.56,2,154,3,0,1,0,marketing,low
152,153,0.37,0.52,2,143,3,0,1,0,marketing,low
153,154,0.4,0.52,2,155,3,0,1,0,marketing,low
154,155,0.39,0.48,2,160,3,0,1,0,sales,low
155,156,0.11,0.8,6,304,4,0,1,0,accounting,low
156,157,0.83,1.0,5,240,5,0,1,0,support,low
157,158,0.11,0.92,6,305,4,0,1,0,engineering,low
158,159,0.39,0.5,2,136,3,0,1,0,management,low
159,160,0.45,0.45,2,132,3,0,1,0,marketing,low
160,161,0.1,0.95,7,301,4,0,1,0,marketing,low
161,162,0.9,0.98,5,243,6,0,1,0,marketing,low
162,163,0.45,0.51,2,147,3,0,1,0,sales,low
163,164,0.79,0.89,5,239,5,0,1,0,sales,low
164,165,0.9,0.99,5,260,5,0,1,0,sales,low
165,166,0.11,0.84,7,296,4,0,1,0,sales,low
166,167,0.43,0.55,2,129,3,0,1,0,sales,low
167,168,0.31,0.54,5,132,5,0,1,0,sales,low
168,169,0.32,0.5,2,135,5,0,1,0,sales,low
169,170,0.45,0.57,2,158,3,0,1,0,sales,low
170,171,0.81,0.99,4,259,5,0,1,0,sales,low
171,172,0.41,0.46,2,160,3,0,1,1,sales,low
172,173,0.11,0.78,7,278,4,0,1,0,sales,low
173,174,0.1,0.88,6,284,4,0,1,0,sales,low
174,175,0.7,0.53,2,274,4,0,1,0,sales,low
175,176,0.54,0.74,4,164,2,0,1,0,sales,low
176,177,0.41,0.48,2,148,3,0,1,0,sales,low
177,178,0.38,0.5,2,140,3,0,1,0,sales,medium
178,179,0.37,0.51,2,127,3,0,1,0,sales,medium
179,180,0.11,0.85,6,308,5,0,1,0,sales,medium
180,181,0.4,0.47,2,146,3,0,1,0,sales,medium
181,182,0.1,0.84,6,261,4,0,1,0,accounting,medium
182,183,0.89,0.99,5,257,5,0,1,0,accounting,medium
183,184,0.11,0.8,6,285,4,0,1,0,accounting,medium
184,185,0.36,0.55,2,141,3,0,1,0,hr,medium
185,186,0.4,0.46,2,127,3,0,1,0,hr,medium
186,187,0.09,0.85,6,297,4,0,1,0,hr,medium
187,188,0.4,0.46,2,143,3,0,1,0,hr,medium
188,189,0.37,0.55,2,152,3,0,1,0,engineering,medium
189,190,0.44,0.51,2,156,3,0,1,0,engineering,high
190,191,0.09,0.8,7,283,5,0,1,0,engineering,low
191,192,0.92,0.87,4,226,6,1,1,0,engineering,medium
192,193,0.74,0.91,4,232,5,0,1,0,engineering,medium
193,194,0.09,0.82,6,249,4,0,1,0,engineering,medium
194,195,0.89,0.95,4,275,5,0,1,0,engineering,medium
195,196,0.09,0.8,6,304,4,0,1,0,engineering,low
196,197,0.27,0.54,7,278,3,0,1,0,engineering,low
197,198,0.1,0.91,6,287,4,0,1,0,engineering,low
198,199,0.1,0.89,7,285,4,0,1,0,engineering,low
199,200,0.77,0.94,5,226,6,0,1,0,support,low
200,201,0.9,0.82,5,259,5,0,1,0,support,low
201,202,0.39,0.5,2,135,3,0,1,0,support,low
202,203,0.76,1.0,5,219,5,0,1,0,support,low
203,204,0.1,0.93,6,256,4,0,1,0,support,low
204,205,0.87,0.9,5,254,6,0,1,0,support,low
205,206,0.38,0.5,2,153,3,0,1,0,support,low
206,207,0.77,0.99,5,228,5,0,1,0,support,low
207,208,0.78,0.87,4,228,5,0,1,0,support,low
208,209,0.44,0.5,2,128,3,0,1,0,support,low
209,210,0.38,0.52,2,153,3,0,1,0,support,low
210,211,0.43,0.46,2,156,3,0,1,0,engineering,low
211,212,0.39,0.5,4,294,3,0,1,0,engineering,low
212,213,0.88,1.0,5,219,5,0,1,0,engineering,low
213,214,0.45,0.46,2,153,3,0,1,0,management,low
214,215,0.4,0.53,2,151,3,0,1,0,IT,low
215,216,0.36,0.51,2,155,3,0,1,0,IT,low
216,217,0.36,0.48,2,158,3,0,1,0,IT,low
217,218,0.9,0.98,5,245,5,0,1,0,IT,low
218,219,0.43,0.53,2,131,3,0,1,0,IT,low
219,220,0.89,0.87,5,225,5,0,1,0,product_mng,low
220,221,0.1,0.84,6,286,4,0,1,0,product_mng,low
221,222,0.37,0.5,2,135,3,0,1,0,product_mng,low
222,223,0.37,0.51,2,153,3,0,1,0,product_mng,low
223,224,0.87,0.9,5,252,5,0,1,0,IT,low
224,225,0.4,0.56,2,149,3,0,1,0,accounting,low
225,226,0.9,0.97,4,258,5,0,1,0,accounting,low
226,227,0.37,0.46,2,158,3,0,1,0,hr,low
227,228,0.44,0.54,2,149,3,0,1,0,hr,low
228,229,0.85,0.95,5,236,5,0,1,0,hr,low
229,230,0.78,0.98,5,239,6,0,1,0,marketing,low
230,231,0.42,0.47,2,159,3,0,1,0,marketing,low
231,232,0.92,0.99,5,255,6,0,1,0,sales,low
232,233,0.11,0.83,6,244,4,0,1,0,accounting,low
233,234,0.42,0.56,2,134,3,0,1,0,support,low
234,235,0.48,0.57,4,270,4,0,1,0,engineering,low
235,236,0.83,0.85,4,255,5,0,1,0,management,low
236,237,0.4,0.53,2,151,3,0,1,0,marketing,low
237,238,0.43,0.45,2,135,3,0,1,0,marketing,low
238,239,0.43,0.53,2,146,3,0,1,0,marketing,low
239,240,0.1,0.97,7,254,4,0,1,0,sales,low
240,241,0.1,0.87,7,289,4,0,1,0,sales,low
241,242,0.37,0.46,2,156,3,0,1,0,sales,low
242,243,0.38,0.53,2,156,3,0,1,0,sales,low
243,244,0.4,0.5,2,128,3,0,1,0,sales,low
244,245,0.89,0.86,5,275,5,0,1,0,sales,low
245,246,0.45,0.46,2,155,3,0,1,0,sales,low
246,247,0.37,0.48,2,159,3,0,1,0,sales,low
247,248,0.46,0.49,2,148,3,0,1,0,sales,low
248,249,0.87,0.91,4,228,5,0,1,0,sales,low
249,250,0.11,0.84,6,298,4,0,1,0,sales,low
250,251,0.79,0.87,5,261,5,0,1,0,sales,low
251,252,0.79,0.92,5,254,6,0,1,0,sales,low
252,253,0.19,0.59,7,192,3,0,1,0,sales,low
253,254,0.87,0.98,4,248,5,0,1,0,sales,low
254,255,0.6,0.92,2,258,5,0,1,0,sales,low
255,256,0.44,0.45,2,156,3,0,1,0,sales,medium
256,257,0.11,0.81,6,266,4,1,1,0,sales,medium
257,258,0.42,0.54,2,156,3,0,1,0,sales,medium
258,259,0.88,0.88,5,232,5,1,1,0,accounting,medium
259,260,0.11,0.84,6,287,4,0,1,0,accounting,medium
260,261,0.46,0.46,2,154,3,0,1,0,accounting,medium
261,262,0.82,0.97,5,263,5,0,1,0,hr,medium
262,263,0.44,0.56,2,131,3,0,1,0,hr,medium
263,264,0.11,0.78,6,260,4,0,1,0,hr,medium
264,265,0.42,0.5,2,139,3,0,1,0,hr,medium
265,266,0.84,0.93,4,251,5,0,1,0,engineering,medium
266,267,0.11,0.95,6,286,4,0,1,0,engineering,medium
267,268,0.45,0.53,2,129,3,0,1,0,engineering,high
268,269,0.38,0.56,2,156,3,0,1,0,engineering,low
269,270,0.38,0.86,6,139,6,0,1,0,engineering,medium
270,271,0.44,0.51,2,127,3,0,1,0,engineering,medium
271,272,0.11,0.84,6,251,4,0,1,0,engineering,medium
272,273,0.81,0.93,5,270,5,0,1,0,engineering,medium
273,274,0.09,0.96,6,296,4,0,1,0,engineering,low
274,275,0.11,0.9,6,254,4,0,1,0,engineering,low
275,276,0.81,0.95,5,238,6,0,1,0,engineering,low
276,277,0.1,0.97,6,267,4,1,1,0,support,low
277,278,0.74,0.89,5,229,6,0,1,0,support,low
278,279,0.09,0.78,6,254,4,0,1,0,support,low
279,280,0.82,0.81,4,233,4,1,1,0,support,low
280,281,0.1,0.98,6,268,4,0,1,0,support,low
281,282,0.27,0.56,3,301,3,0,1,0,support,low
282,283,0.83,0.92,5,267,6,0,1,0,support,low
283,284,0.1,0.93,6,289,4,1,1,0,support,low
284,285,0.38,0.47,2,144,3,0,1,0,support,low
285,286,0.4,0.56,2,148,3,0,1,0,support,low
286,287,0.11,0.83,6,306,4,0,1,0,support,low
287,288,0.11,0.79,6,292,4,0,1,1,engineering,low
288,289,0.82,0.91,5,232,5,0,1,0,engineering,low
289,290,0.36,0.48,2,137,3,0,1,0,engineering,low
290,291,0.4,0.46,2,128,3,0,1,0,management,low
291,292,0.87,0.84,5,231,5,0,1,0,IT,low
292,293,0.41,0.49,2,146,3,0,1,0,IT,low
293,294,0.11,0.91,6,308,4,1,1,0,IT,low
294,295,0.1,0.93,6,253,4,0,1,0,IT,medium
295,296,0.38,0.51,2,146,3,0,1,0,IT,medium
296,297,0.39,0.55,2,156,3,0,1,0,product_mng,medium
297,298,0.4,0.52,2,147,3,0,1,0,product_mng,medium
298,299,0.45,0.48,2,136,3,0,1,0,product_mng,medium
299,300,0.74,0.84,5,249,5,0,1,0,product_mng,medium
300,301,0.45,0.55,2,151,3,0,1,0,IT,medium
301,302,0.12,1.0,3,278,4,0,1,0,R&D,medium
302,303,0.1,0.77,7,250,5,0,1,0,R&D,medium
303,304,0.37,0.55,2,127,3,0,1,0,R&D,medium
304,305,0.89,0.87,5,255,5,0,1,0,R&D,medium
305,306,0.45,0.47,2,135,3,0,1,0,R&D,medium
306,307,0.37,0.46,2,149,3,0,1,0,marketing,high
307,308,0.11,0.81,5,287,4,0,1,0,sales,low
308,309,0.41,0.48,2,145,3,0,1,0,accounting,medium
309,310,0.1,0.94,6,285,4,0,1,0,support,medium
310,311,0.1,0.93,7,305,4,0,1,0,engineering,medium
311,312,0.11,0.95,7,300,4,0,1,0,management,medium
312,313,0.4,0.54,2,139,3,0,1,0,marketing,low
313,314,0.41,0.49,2,130,3,0,1,0,marketing,low
314,315,0.1,0.81,6,268,4,0,1,0,marketing,low
315,316,0.73,0.86,4,245,6,0,1,0,sales,low
316,317,0.43,0.47,2,135,3,0,1,0,sales,low
317,318,0.37,0.46,2,153,3,0,1,0,sales,low
318,319,0.11,0.94,6,276,4,0,1,0,sales,low
319,320,0.4,0.46,2,130,3,0,1,0,sales,low
320,321,0.41,0.54,2,153,3,1,1,0,sales,low
321,322,0.82,0.84,5,244,5,0,1,0,sales,low
322,323,0.61,0.47,2,253,3,0,1,0,sales,low
323,324,0.11,0.91,7,287,4,0,1,0,sales,low
324,325,0.37,0.45,2,131,3,0,1,0,sales,low
325,326,0.41,0.52,2,135,3,0,1,0,sales,low
326,327,0.37,0.52,2,157,3,0,1,0,sales,low
327,328,0.88,0.99,5,262,6,0,1,0,sales,low
328,329,0.1,0.85,6,266,4,0,1,0,sales,low
329,330,0.44,0.48,2,148,3,0,1,0,sales,low
330,331,0.38,0.57,2,140,3,0,1,0,sales,low
331,332,0.11,0.85,7,302,4,0,1,0,sales,low
332,333,0.09,0.98,6,271,4,0,1,0,sales,low
333,334,0.45,0.52,2,145,3,0,1,0,sales,medium
334,335,0.1,0.81,6,290,4,0,1,0,accounting,medium
335,336,0.45,0.47,2,151,3,0,1,0,accounting,medium
336,337,0.77,0.87,5,266,5,0,1,0,accounting,medium
337,338,0.44,0.51,2,140,3,0,1,0,hr,medium
338,339,0.39,0.5,2,142,3,0,1,0,hr,medium
339,340,0.1,0.91,6,246,4,0,1,0,hr,medium
340,341,0.09,0.89,7,308,5,0,1,0,hr,medium
341,342,0.37,0.47,2,141,3,0,1,0,engineering,medium
342,343,0.9,1.0,5,232,5,0,1,0,engineering,medium
343,344,0.41,0.56,2,143,3,0,1,0,engineering,medium
344,345,0.37,0.52,2,155,3,0,1,0,engineering,medium
345,346,0.1,0.86,6,278,4,0,1,0,engineering,high
346,347,0.81,1.0,4,253,5,0,1,0,engineering,low
347,348,0.11,0.8,6,282,4,0,1,0,engineering,medium
348,349,0.11,0.84,7,264,4,0,1,0,engineering,medium
349,350,0.4,0.46,2,149,3,0,1,0,engineering,medium
350,351,0.09,0.8,6,304,5,0,1,0,engineering,medium
351,352,0.48,0.93,3,219,6,0,1,0,engineering,low
352,353,0.91,0.91,4,262,6,0,1,0,support,low
353,354,0.43,0.57,2,135,3,0,1,0,support,low
354,355,0.33,0.88,6,219,5,0,1,0,support,low
355,356,0.41,0.57,2,136,3,0,1,0,support,low
356,357,0.41,0.55,2,154,3,0,1,0,support,low
357,358,0.37,0.54,2,149,3,0,1,0,support,low
358,359,0.31,0.62,6,135,5,0,1,0,support,low
359,360,0.09,0.91,6,275,4,0,1,0,support,low
360,361,0.1,0.87,6,290,4,0,1,0,support,low
361,362,0.76,0.9,4,263,5,0,1,0,support,low
362,363,0.41,0.54,2,145,3,0,1,0,support,low
363,364,0.72,0.96,5,267,5,0,1,0,engineering,low
364,365,0.4,0.5,2,141,3,1,1,0,engineering,low
365,366,0.91,0.87,4,235,5,0,1,0,engineering,low
366,367,0.1,0.83,6,258,4,0,1,0,management,low
367,368,0.4,0.56,2,131,3,0,1,0,IT,low
368,369,0.82,0.86,5,243,5,0,1,0,IT,low
369,370,0.1,0.82,6,266,4,0,1,0,IT,low
370,371,0.37,0.45,2,142,3,0,1,0,IT,low
371,372,0.36,0.51,2,135,3,0,1,0,IT,low
372,373,0.39,0.48,2,141,3,0,1,0,product_mng,medium
373,374,0.36,0.57,2,142,3,0,1,0,product_mng,medium
374,375,0.86,0.84,5,254,5,0,1,0,product_mng,medium
375,376,0.73,0.99,5,262,5,0,1,0,product_mng,medium
376,377,0.56,0.71,4,296,2,0,1,0,IT,medium
377,378,0.44,0.56,2,158,3,0,1,0,accounting,medium
378,379,0.31,0.56,4,238,2,0,1,0,accounting,medium
379,380,0.77,0.93,4,231,5,0,1,0,hr,medium
380,381,0.44,0.45,2,156,3,0,1,0,hr,medium
381,382,0.38,0.46,2,145,3,0,1,0,hr,medium
382,383,0.45,0.48,2,144,3,0,1,0,marketing,medium
383,384,0.38,0.51,2,159,3,0,1,0,sales,medium
384,385,0.36,0.48,2,156,3,0,1,0,accounting,high
385,386,0.75,0.9,5,256,5,0,1,0,support,low
386,387,0.1,0.93,6,298,4,0,1,0,engineering,medium
387,388,0.1,0.97,6,247,4,0,1,0,management,medium
388,389,0.45,0.5,2,157,3,0,1,0,marketing,medium
389,390,0.42,0.57,2,154,3,1,1,0,marketing,medium
390,391,0.78,1.0,4,253,5,0,1,0,marketing,low
391,392,0.45,0.55,2,148,3,0,1,0,sales,low
392,393,0.84,1.0,4,261,5,0,1,0,sales,low
393,394,0.11,0.93,6,282,4,0,1,0,sales,low
394,395,0.42,0.56,2,133,3,0,1,0,sales,low
395,396,0.45,0.46,2,128,3,0,1,0,sales,low
396,397,0.46,0.57,2,139,3,0,1,0,sales,low
397,398,0.09,0.79,6,293,5,0,1,0,sales,low
398,399,0.87,0.83,4,265,6,0,1,0,sales,low
399,400,0.1,0.87,6,250,4,0,1,0,sales,low
400,401,0.91,1.0,5,251,6,0,1,0,sales,low
401,402,0.76,0.92,4,246,5,0,1,0,sales,low
402,403,0.74,1.0,5,275,5,0,1,0,sales,low
403,404,0.92,0.93,5,240,5,0,1,0,sales,low
404,405,0.76,0.87,5,245,5,0,1,0,sales,low
405,406,0.47,0.5,4,254,4,0,1,0,sales,low
406,407,0.73,0.99,5,241,5,0,1,0,sales,low
407,408,0.09,0.94,6,257,4,0,1,0,sales,low
408,409,0.91,0.92,4,246,5,0,1,0,sales,low
409,410,0.82,0.98,4,233,5,0,1,0,sales,low
410,411,0.28,0.45,6,218,4,0,1,0,accounting,low
411,412,0.84,0.99,4,262,6,0,1,0,accounting,medium
412,413,0.45,0.53,2,138,3,0,1,0,accounting,medium
413,414,0.45,0.54,2,142,3,0,1,0,hr,medium
414,415,0.91,0.97,5,233,5,0,1,0,hr,medium
415,416,0.42,0.48,2,155,3,0,1,0,hr,medium
416,417,0.82,1.0,4,229,6,0,1,0,hr,medium
417,418,0.11,0.9,6,264,4,0,1,0,engineering,medium
418,419,0.42,0.53,3,199,4,0,1,0,engineering,medium
419,420,0.82,0.85,4,223,5,0,1,0,engineering,medium
420,421,0.09,0.96,6,268,4,0,1,0,engineering,medium
421,422,0.1,0.94,6,287,4,0,1,0,engineering,medium
422,423,0.86,1.0,5,257,5,0,1,0,engineering,medium
423,424,0.4,0.46,2,143,3,0,1,0,engineering,high
424,425,0.45,0.46,2,130,3,0,1,0,engineering,low
425,426,0.42,0.51,2,136,3,0,1,0,engineering,medium
426,427,0.74,0.92,4,261,5,0,1,0,engineering,medium
427,428,0.55,0.6,3,180,4,0,1,0,engineering,medium
428,429,0.37,0.45,2,126,3,0,1,0,support,medium
429,430,0.41,0.52,2,127,3,1,1,0,support,low
430,431,0.89,0.65,5,195,6,0,1,0,support,low
431,432,0.41,0.57,2,160,3,0,1,0,support,low
432,433,0.44,0.51,2,150,3,0,1,0,support,low
433,434,0.87,0.84,4,264,6,0,1,0,support,low
434,435,0.1,0.84,6,309,4,0,1,0,support,low
435,436,0.41,0.47,2,135,3,0,1,0,support,low
436,437,0.11,0.85,6,261,4,0,1,0,support,low
437,438,0.43,0.53,2,160,3,0,1,0,support,low
438,439,0.77,0.9,4,237,5,0,1,0,support,low
439,440,0.41,0.52,2,136,3,0,1,0,engineering,low
440,441,0.41,0.48,2,139,3,0,1,0,engineering,low
441,442,0.36,0.78,2,151,4,0,1,0,engineering,low
442,443,0.77,1.0,5,229,5,0,1,0,management,low
443,444,0.81,0.98,5,245,5,0,1,0,IT,low
444,445,0.39,0.54,2,127,3,0,1,0,IT,low
445,446,0.09,0.94,6,283,5,0,1,0,IT,low
446,447,0.44,0.46,2,143,3,0,1,0,IT,low
447,448,0.1,0.84,5,298,4,0,1,0,IT,low
448,449,0.36,0.48,2,159,3,0,1,0,product_mng,low
449,450,0.81,0.92,5,239,5,0,1,0,product_mng,low
450,451,0.81,0.9,4,226,5,0,1,0,product_mng,medium
451,452,0.85,0.98,5,248,5,0,1,0,product_mng,medium
452,453,0.1,0.87,6,286,4,0,1,0,IT,medium
453,454,0.37,0.54,2,145,3,0,1,0,R&D,medium
454,455,0.09,0.97,7,254,4,1,1,0,R&D,medium
455,456,0.44,0.53,2,127,3,0,1,0,R&D,medium
456,457,0.86,0.93,5,223,5,0,1,0,R&D,medium
457,458,0.77,1.0,4,255,5,0,1,0,R&D,medium
458,459,0.41,0.48,2,136,3,0,1,0,marketing,medium
459,460,0.4,0.48,2,137,3,0,1,0,sales,medium
460,461,0.43,0.49,2,135,3,0,1,0,accounting,medium
461,462,0.43,0.5,2,137,3,0,1,0,support,medium
462,463,0.8,0.53,3,255,5,0,1,0,engineering,high
463,464,0.8,0.85,4,273,5,0,1,0,management,low
464,465,0.82,0.98,5,234,5,0,1,0,marketing,medium
465,466,0.37,0.54,2,152,3,0,1,0,marketing,medium
466,467,0.37,0.48,2,134,3,0,1,0,marketing,medium
467,468,0.09,0.95,6,292,4,0,1,0,sales,medium
