,employee_id,satisfaction_level,last_evaluation,number_project,avg_monthly_hours,company_tenure,work_accident,left,promotion_last_5years,department,salary,satisfaction_range,evaluation_range
39,40,0.41,0.54,2,152,3,0,1,0,engineering,low,poor,poor
40,41,0.87,0.88,5,269,5,0,1,0,engineering,low,excellent,excellent
41,42,0.45,0.48,2,158,3,0,1,0,engineering,low,poor,very_poor
42,43,0.4,0.46,2,127,3,0,1,0,engineering,low,poor,very_poor
43,44,0.1,0.8,7,281,4,0,1,0,engineering,low,very_poor,good
44,45,0.09,0.89,6,276,4,0,1,0,engineering,low,very_poor,excellent
45,46,0.84,0.74,3,182,4,0,1,0,engineering,low,excellent,average
46,47,0.4,0.55,2,147,3,0,1,0,support,low,poor,poor
47,48,0.57,0.7,3,273,6,0,1,0,support,low,average,average
48,49,0.4,0.54,2,148,3,0,1,0,support,low,poor,poor
49,50,0.43,0.47,2,147,3,0,1,0,support,low,poor,very_poor
50,51,0.13,0.78,6,152,2,0,1,0,support,low,very_poor,good
51,52,0.44,0.55,2,135,3,0,1,0,support,low,poor,poor
52,53,0.38,0.55,2,134,3,0,1,0,support,low,poor,poor
53,54,0.39,0.54,2,132,3,0,1,0,support,low,poor,poor
54,55,0.1,0.92,7,307,4,0,1,0,support,low,very_poor,excellent
55,56,0.37,0.46,2,140,3,0,1,0,support,low,poor,very_poor
56,57,0.11,0.94,7,255,4,0,1,0,support,low,very_poor,excellent
57,58,0.1,0.81,6,309,4,0,1,0,engineering,low,very_poor,good
58,59,0.38,0.54,2,128,3,0,1,0,engineering,low,poor,poor
59,60,0.85,1.0,4,225,5,0,1,0,engineering,low,excellent,excellent
60,61,0.85,0.91,5,226,5,0,1,0,management,medium,excellent,excellent
61,62,0.11,0.93,7,308,4,0,1,0,IT,medium,very_poor,excellent
62,63,0.1,0.95,6,244,5,0,1,0,IT,medium,very_poor,excellent
63,64,0.36,0.56,2,132,3,0,1,0,IT,medium,poor,poor
64,65,0.11,0.94,6,286,4,0,1,0,IT,medium,very_poor,excellent
65,66,0.81,0.7,6,161,4,0,1,0,IT,medium,good,average
66,67,0.43,0.54,2,153,3,0,1,0,product_mng,medium,poor,poor
67,68,0.9,0.98,4,264,6,0,1,0,product_mng,medium,excellent,excellent
68,69,0.76,0.86,5,223,5,1,1,0,product_mng,medium,good,good
69,70,0.43,0.5,2,135,3,0,1,0,product_mng,medium,poor,poor
70,71,0.74,0.99,2,277,3,0,1,0,IT,medium,good,excellent
71,72,0.09,0.77,5,275,4,0,1,0,product_mng,medium,very_poor,good
72,73,0.45,0.49,2,149,3,0,1,0,product_mng,high,poor,poor
73,74,0.09,0.87,7,295,4,0,1,0,product_mng,low,very_poor,good
74,75,0.11,0.97,6,277,4,0,1,0,product_mng,medium,very_poor,excellent
75,76,0.11,0.79,7,306,4,0,1,0,product_mng,medium,very_poor,good
76,77,0.1,0.83,6,295,4,0,1,0,product_mng,medium,very_poor,good
77,78,0.4,0.54,2,137,3,0,1,0,marketing,medium,poor,poor
78,79,0.43,0.56,2,157,3,0,1,0,sales,low,poor,poor
79,80,0.39,0.56,2,142,3,0,1,0,accounting,low,poor,poor
80,81,0.45,0.54,2,140,3,0,1,0,support,low,poor,poor
81,82,0.38,0.49,2,151,3,0,1,0,engineering,low,poor,poor
82,83,0.79,0.59,4,139,3,0,1,1,management,low,good,poor
83,84,0.84,0.85,4,249,6,0,1,0,marketing,low,excellent,good
84,85,0.11,0.77,6,291,4,0,1,0,marketing,low,very_poor,good
85,86,0.11,0.87,6,305,4,0,1,0,marketing,low,very_poor,good
86,87,0.17,0.84,5,232,3,0,1,0,sales,low,very_poor,good
87,88,0.44,0.45,2,132,3,0,1,0,sales,low,poor,very_poor
88,89,0.37,0.57,2,130,3,0,1,0,sales,low,poor,poor
89,90,0.1,0.79,6,291,4,0,1,0,sales,low,very_poor,good
90,91,0.4,0.5,2,130,3,0,1,0,sales,low,poor,poor
91,92,0.89,1.0,5,246,5,0,1,0,sales,low,excellent,excellent
92,93,0.42,0.48,2,143,3,0,1,0,sales,low,poor,very_poor
93,94,0.46,0.55,2,129,3,0,1,0,sales,low,average,poor
94,95,0.09,0.83,6,255,4,0,1,0,sales,low,very_poor,good
95,96,0.37,0.51,2,155,3,0,1,0,sales,low,poor,poor
96,97,0.1,0.77,6,265,4,0,1,0,sales,low,very_poor,good
97,98,0.1,0.84,6,279,4,0,1,0,sales,low,very_poor,good
98,99,0.11,0.97,6,284,4,0,1,0,sales,low,very_poor,excellent
99,100,0.9,1.0,5,221,6,0,1,0,sales,medium,excellent,excellent
100,101,0.38,0.52,2,154,3,0,1,0,sales,medium,poor,poor
101,102,0.36,0.52,2,147,3,0,1,0,sales,medium,poor,poor
102,103,0.42,0.46,2,150,3,0,1,0,sales,medium,poor,very_poor
103,104,0.09,0.94,7,267,4,0,1,0,sales,medium,very_poor,excellent
104,105,0.43,0.52,2,158,3,0,1,0,sales,medium,poor,poor
105,106,0.24,0.46,7,224,5,0,1,0,accounting,medium,very_poor,very_poor
106,107,0.91,1.0,4,257,5,0,1,0,accounting,medium,excellent,excellent
107,108,0.44,0.5,2,148,3,0,1,0,accounting,medium,poor,poor
108,109,0.71,0.87,3,177,4,0,1,0,hr,medium,good,good
109,110,0.4,0.49,2,155,3,0,1,0,hr,medium,poor,poor
110,111,0.43,0.47,2,144,3,0,1,0,hr,medium,poor,very_poor
111,112,0.09,0.85,6,289,4,0,1,0,hr,high,very_poor,good
112,113,0.43,0.52,2,160,3,0,1,0,engineering,low,poor,poor
113,114,0.9,0.96,4,258,5,0,1,0,engineering,medium,excellent,excellent
114,115,0.84,1.0,5,234,5,0,1,0,engineering,medium,excellent,excellent
115,116,0.37,0.48,2,137,3,0,1,0,engineering,medium,poor,very_poor
116,117,0.86,0.68,5,263,2,0,1,0,engineering,medium,excellent,average
117,118,0.11,0.84,6,251,4,0,1,0,engineering,low,very_poor,good
118,119,0.37,0.57,2,133,3,0,1,0,engineering,low,poor,poor
119,120,0.4,0.46,2,132,3,0,1,0,engineering,low,poor,very_poor
120,121,0.14,0.62,4,158,4,1,1,0,engineering,low,very_poor,average
121,122,0.4,0.46,2,135,3,0,1,0,engineering,low,poor,very_poor
122,123,0.75,1.0,4,216,6,0,1,0,engineering,low,good,excellent
123,124,0.11,0.84,6,300,5,1,1,0,support,low,very_poor,good
124,125,0.46,0.49,2,138,3,0,1,0,support,low,average,poor
125,126,0.11,0.92,6,260,4,0,1,0,support,low,very_poor,excellent
126,127,0.38,0.49,2,132,3,0,1,0,support,low,poor,poor
127,128,0.7,0.89,3,183,5,0,1,0,support,low,good,excellent
128,129,0.09,0.82,6,250,4,0,1,0,support,low,very_poor,good
129,130,0.37,0.45,2,151,3,0,1,0,support,low,poor,very_poor
130,131,0.1,0.83,6,292,4,0,1,0,support,low,very_poor,good
131,132,0.38,0.57,2,140,3,0,1,0,support,low,poor,poor
132,133,0.9,1.0,5,221,5,0,1,0,support,low,excellent,excellent
133,134,0.44,0.51,2,138,3,0,1,0,support,low,poor,poor
134,135,0.36,0.5,2,132,3,0,1,0,engineering,low,poor,poor
135,136,0.31,0.84,7,133,5,0,1,0,engineering,low,poor,good
136,137,0.1,0.84,6,283,4,1,1,0,engineering,low,very_poor,good
137,138,0.42,0.48,2,129,3,0,1,0,management,low,poor,very_poor
138,139,0.74,1.0,4,249,5,0,1,0,IT,low,good,excellent
139,140,0.73,0.87,5,257,5,0,1,0,IT,low,good,good
140,141,0.09,0.96,6,245,4,0,1,0,IT,low,very_poor,excellent
141,142,0.45,0.53,2,155,3,0,1,0,IT,low,poor,poor
142,143,0.11,0.8,6,256,4,0,1,0,IT,low,very_poor,good
143,144,0.37,0.47,2,152,3,0,1,0,product_mng,low,poor,very_poor
144,145,0.84,0.99,4,267,5,0,1,0,product_mng,low,excellent,excellent
145,146,0.41,0.46,2,151,3,0,1,0,product_mng,low,poor,very_poor
146,147,0.76,0.92,4,239,5,0,1,0,product_mng,low,good,excellent
147,148,0.11,0.87,6,306,4,0,1,0,IT,low,very_poor,good
148,149,0.84,0.88,4,263,5,1,1,0,marketing,low,excellent,excellent
149,150,0.39,0.5,2,147,3,0,1,0,marketing,low,poor,poor
150,151,0.11,0.91,6,278,4,0,1,0,marketing,low,very_poor,excellent
151,152,0.45,0.56,2,154,3,0,1,0,marketing,low,poor,poor
152,153,0.37,0.52,2,143,3,0,1,0,marketing,low,poor,poor
153,154,0.4,0.52,2,155,3,0,1,0,marketing,low,poor,poor
154,155,0.39,0.48,2,160,3,0,1,0,sales,low,poor,very_poor
155,156,0.11,0.8,6,304,4,0,1,0,accounting,low,very_poor,good
156,157,0.83,1.0,5,240,5,0,1,0,support,low,excellent,excellent
157,158,0.11,0.92,6,305,4,0,1,0,engineering,low,very_poor,excellent
158,159,0.39,0.5,2,136,3,0,1,0,management,low,poor,poor
159,160,0.45,0.45,2,132,3,0,1,0,marketing,low,poor,very_poor
160,161,0.1,0.95,7,301,4,0,1,0,marketing,low,very_poor,excellent
161,162,0.9,0.98,5,243,6,0,1,0,marketing,low,excellent,excellent
162,163,0.45,0.51,2,147,3,0,1,0,sales,low,poor,poor
163,164,0.79,0.89,5,239,5,0,1,0,sales,low,good,excellent
164,165,0.9,0.99,5,260,5,0,1,0,sales,low,excellent,excellent
165,166,0.11,0.84,7,296,4,0,1,0,sales,low,very_poor,good
166,167,0.43,0.55,2,129,3,0,1,0,sales,low,poor,poor
167,168,0.31,0.54,5,132,5,0,1,0,sales,low,poor,poor
168,169,0.32,0.5,2,135,5,0,1,0,sales,low,poor,poor
169,170,0.45,0.57,2,158,3,0,1,0,sales,low,poor,poor
170,171,0.81,0.99,4,259,5,0,1,0,sales,low,good,excellent
171,172,0.41,0.46,2,160,3,0,1,1,sales,low,poor,very_poor
172,173,0.11,0.78,7,278,4,0,1,0,sales,low,very_poor,good
173,174,0.1,0.88,6,284,4,0,1,0,sales,low,very_poor,excellent
174,175,0.7,0.53,2,274,4,0,1,0,sales,low,good,poor
175,176,0.54,0.74,4,164,2,0,1,0,sales,low,average,average
176,177,0.41,0.48,2,148,3,0,1,0,sales,low,poor,very_poor
177,178,0.38,0.5,2,140,3,0,1,0,sales,medium,poor,poor
178,179,0.37,0.51,2,127,3,0,1,0,sales,medium,poor,poor
179,180,0.11,0.85,6,308,5,0,1,0,sales,medium,very_poor,good
180,181,0.4,0.47,2,146,3,0,1,0,sales,medium,poor,very_poor
181,182,0.1,0.84,6,261,4,0,1,0,accounting,medium,very_poor,good
182,183,0.89,0.99,5,257,5,0,1,0,accounting,medium,excellent,excellent
183,184,0.11,0.8,6,285,4,0,1,0,accounting,medium,very_poor,good
184,185,0.36,0.55,2,141,3,0,1,0,hr,medium,poor,poor
185,186,0.4,0.46,2,127,3,0,1,0,hr,medium,poor,very_poor
186,187,0.09,0.85,6,297,4,0,1,0,hr,medium,very_poor,good
187,188,0.4,0.46,2,143,3,0,1,0,hr,medium,poor,very_poor
188,189,0.37,0.55,2,152,3,0,1,0,engineering,medium,poor,poor
189,190,0.44,0.51,2,156,3,0,1,0,engineering,high,poor,poor
190,191,0.09,0.8,7,283,5,0,1,0,engineering,low,very_poor,good
191,192,0.92,0.87,4,226,6,1,1,0,engineering,medium,excellent,good
192,193,0.74,0.91,4,232,5,0,1,0,engineering,medium,good,excellent
193,194,0.09,0.82,6,249,4,0,1,0,engineering,medium,very_poor,good
194,195,0.89,0.95,4,275,5,0,1,0,engineering,medium,excellent,excellent
195,196,0.09,0.8,6,304,4,0,1,0,engineering,low,very_poor,good
196,197,0.27,0.54,7,278,3,0,1,0,engineering,low,very_poor,poor
197,198,0.1,0.91,6,287,4,0,1,0,engineering,low,very_poor,excellent
198,199,0.1,0.89,7,285,4,0,1,0,engineering,low,very_poor,excellent
199,200,0.77,0.94,5,226,6,0,1,0,support,low,good,excellent
200,201,0.9,0.82,5,259,5,0,1,0,support,low,excellent,good
201,202,0.39,0.5,2,135,3,0,1,0,support,low,poor,poor
202,203,0.76,1.0,5,219,5,0,1,0,support,low,good,excellent
203,204,0.1,0.93,6,256,4,0,1,0,support,low,very_poor,excellent
204,205,0.87,0.9,5,254,6,0,1,0,support,low,excellent,excellent
205,206,0.38,0.5,2,153,3,0,1,0,support,low,poor,poor
206,207,0.77,0.99,5,228,5,0,1,0,support,low,good,excellent
207,208,0.78,0.87,4,228,5,0,1,0,support,low,good,good
208,209,0.44,0.5,2,128,3,0,1,0,support,low,poor,poor
209,210,0.38,0.52,2,153,3,0,1,0,support,low,poor,poor
210,211,0.43,0.46,2,156,3,0,1,0,engineering,low,poor,very_poor
211,212,0.39,0.5,4,294,3,0,1,0,engineering,low,poor,poor
212,213,0.88,1.0,5,219,5,0,1,0,engineering,low,excellent,excellent
213,214,0.45,0.46,2,153,3,0,1,0,management,low,poor,very_poor
214,215,0.4,0.53,2,151,3,0,1,0,IT,low,poor,poor
215,216,0.36,0.51,2,155,3,0,1,0,IT,low,poor,poor
216,217,0.36,0.48,2,158,3,0,1,0,IT,low,poor,very_poor
217,218,0.9,0.98,5,245,5,0,1,0,IT,low,excellent,excellent
218,219,0.43,0.53,2,131,3,0,1,0,IT,low,poor,poor
219,220,0.89,0.87,5,225,5,0,1,0,product_mng,low,excellent,good
220,221,0.1,0.84,6,286,4,0,1,0,product_mng,low,very_poor,good
221,222,0.37,0.5,2,135,3,0,1,0,product_mng,low,poor,poor
222,223,0.37,0.51,2,153,3,0,1,0,product_mng,low,poor,poor
223,224,0.87,0.9,5,252,5,0,1,0,IT,low,excellent,excellent
224,225,0.4,0.56,2,149,3,0,1,0,accounting,low,poor,poor
225,226,0.9,0.97,4,258,5,0,1,0,accounting,low,excellent,excellent
226,227,0.37,0.46,2,158,3,0,1,0,hr,low,poor,very_poor
227,228,0.44,0.54,2,149,3,0,1,0,hr,low,poor,poor
228,229,0.85,0.95,5,236,5,0,1,0,hr,low,excellent,excellent
229,230,0.78,0.98,5,239,6,0,1,0,marketing,low,good,excellent
230,231,0.42,0.47,2,159,3,0,1,0,marketing,low,poor,very_poor
231,232,0.92,0.99,5,255,6,0,1,0,sales,low,excellent,excellent
232,233,0.11,0.83,6,244,4,0,1,0,accounting,low,very_poor,good
233,234,0.42,0.56,2,134,3,0,1,0,support,low,poor,poor
234,235,0.48,0.57,4,270,4,0,1,0,engineering,low,average,poor
235,236,0.83,0.85,4,255,5,0,1,0,management,low,excellent,good
236,237,0.4,0.53,2,151,3,0,1,0,marketing,low,poor,poor
237,238,0.43,0.45,2,135,3,0,1,0,marketing,low,poor,very_poor
238,239,0.43,0.53,2,146,3,0,1,0,marketing,low,poor,poor
239,240,0.1,0.97,7,254,4,0,1,0,sales,low,very_poor,excellent
240,241,0.1,0.87,7,289,4,0,1,0,sales,low,very_poor,good
241,242,0.37,0.46,2,156,3,0,1,0,sales,low,poor,very_poor
242,243,0.38,0.53,2,156,3,0,1,0,sales,low,poor,poor
243,244,0.4,0.5,2,128,3,0,1,0,sales,low,poor,poor
244,245,0.89,0.86,5,275,5,0,1,0,sales,low,excellent,good
245,246,0.45,0.46,2,155,3,0,1,0,sales,low,poor,very_poor
246,247,0.37,0.48,2,159,3,0,1,0,sales,low,poor,very_poor
247,248,0.46,0.49,2,148,3,0,1,0,sales,low,average,poor
248,249,0.87,0.91,4,228,5,0,1,0,sales,low,excellent,excellent
249,250,0.11,0.84,6,298,4,0,1,0,sales,low,very_poor,good
250,251,0.79,0.87,5,261,5,0,1,0,sales,low,good,good
251,252,0.79,0.92,5,254,6,0,1,0,sales,low,good,excellent
252,253,0.19,0.59,7,192,3,0,1,0,sales,low,very_poor,poor
253,254,0.87,0.98,4,248,5,0,1,0,sales,low,excellent,excellent
254,255,0.6,0.92,2,258,5,0,1,0,sales,low,average,excellent
255,256,0.44,0.45,2,156,3,0,1,0,sales,medium,poor,very_poor
256,257,0.11,0.81,6,266,4,1,1,0,sales,medium,very_poor,good
257,258,0.42,0.54,2,156,3,0,1,0,sales,medium,poor,poor
258,259,0.88,0.88,5,232,5,1,1,0,accounting,medium,excellent,excellent
259,260,0.11,0.84,6,287,4,0,1,0,accounting,medium,very_poor,good
260,261,0.46,0.46,2,154,3,0,1,0,accounting,medium,average,very_poor
261,262,0.82,0.97,5,263,5,0,1,0,hr,medium,excellent,excellent
262,263,0.44,0.56,2,131,3,0,1,0,hr,medium,poor,poor
263,264,0.11,0.78,6,260,4,0,1,0,hr,medium,very_poor,good
264,265,0.42,0.5,2,139,3,0,1,0,hr,medium,poor,poor
265,266,0.84,0.93,4,251,5,0,1,0,engineering,medium,excellent,excellent
266,267,0.11,0.95,6,286,4,0,1,0,engineering,medium,very_poor,excellent
267,268,0.45,0.53,2,129,3,0,1,0,engineering,high,poor,poor
268,269,0.38,0.56,2,156,3,0,1,0,engineering,low,poor,poor
269,270,0.38,0.86,6,139,6,0,1,0,engineering,medium,poor,good
270,271,0.44,0.51,2,127,3,0,1,0,engineering,medium,poor,poor
271,272,0.11,0.84,6,251,4,0,1,0,engineering,medium,very_poor,good
272,273,0.81,0.93,5,270,5,0,1,0,engineering,medium,good,excellent
273,274,0.09,0.96,6,296,4,0,1,0,engineering,low,very_poor,excellent
274,275,0.11,0.9,6,254,4,0,1,0,engineering,low,very_poor,excellent
275,276,0.81,0.95,5,238,6,0,1,0,engineering,low,good,excellent
276,277,0.1,0.97,6,267,4,1,1,0,support,low,very_poor,excellent
277,278,0.74,0.89,5,229,6,0,1,0,support,low,good,excellent
278,279,0.09,0.78,6,254,4,0,1,0,support,low,very_poor,good
279,280,0.82,0.81,4,233,4,1,1,0,support,low,excellent,good
280,281,0.1,0.98,6,268,4,0,1,0,support,low,very_poor,excellent
281,282,0.27,0.56,3,301,3,0,1,0,support,low,very_poor,poor
282,283,0.83,0.92,5,267,6,0,1,0,support,low,excellent,excellent
283,284,0.1,0.93,6,289,4,1,1,0,support,low,very_poor,excellent
284,285,0.38,0.47,2,144,3,0,1,0,support,low,poor,very_poor
285,286,0.4,0.56,2,148,3,0,1,0,support,low,poor,poor
286,287,0.11,0.83,6,306,4,0,1,0,support,low,very_poor,good
287,288,0.11,0.79,6,292,4,0,1,1,engineering,low,very_poor,good
288,289,0.82,0.91,5,232,5,0,1,0,engineering,low,excellent,excellent
289,290,0.36,0.48,2,137,3,0,1,0,engineering,low,poor,very_poor
290,291,0.4,0.46,2,128,3,0,1,0,management,low,poor,very_poor
291,292,0.87,0.84,5,231,5,0,1,0,IT,low,excellent,good
292,293,0.41,0.49,2,146,3,0,1,0,IT,low,poor,poor
293,294,0.11,0.91,6,308,4,1,1,0,IT,low,very_poor,excellent
294,295,0.1,0.93,6,253,4,0,1,0,IT,medium,very_poor,excellent
295,296,0.38,0.51,2,146,3,0,1,0,IT,medium,poor,poor
296,297,0.39,0.55,2,156,3,0,1,0,product_mng,medium,poor,poor
297,298,0.4,0.52,2,147,3,0,1,0,product_mng,medium,poor,poor
298,299,0.45,0.48,2,136,3,0,1,0,product_mng,medium,poor,very_poor
299,300,0.74,0.84,5,249,5,0,1,0,product_mng,medium,good,good
300,301,0.45,0.55,2,151,3,0,1,0,IT,medium,poor,poor
301,302,0.12,1.0,3,278,4,0,1,0,R&D,medium,very_poor,excellent
302,303,0.1,0.77,7,250,5,0,1,0,R&D,medium,very_poor,good
303,304,0.37,0.55,2,127,3,0,1,0,R&D,medium,poor,poor
304,305,0.89,0.87,5,255,5,0,1,0,R&D,medium,excellent,good
305,306,0.45,0.47,2,135,3,0,1,0,R&D,medium,poor,very_poor
306,307,0.37,0.46,2,149,3,0,1,0,marketing,high,poor,very_poor
307,308,0.11,0.81,5,287,4,0,1,0,sales,low,very_poor,good
308,309,0.41,0.48,2,145,3,0,1,0,accounting,medium,poor,very_poor
309,310,0.1,0.94,6,285,4,0,1,0,support,medium,very_poor,excellent
310,311,0.1,0.93,7,305,4,0,1,0,engineering,medium,very_poor,excellent
311,312,0.11,0.95,7,300,4,0,1,0,management,medium,very_poor,excellent
312,313,0.4,0.54,2,139,3,0,1,0,marketing,low,poor,poor
313,314,0.41,0.49,2,130,3,0,1,0,marketing,low,poor,poor
314,315,0.1,0.81,6,268,4,0,1,0,marketing,low,very_poor,good
315,316,0.73,0.86,4,245,6,0,1,0,sales,low,good,good
316,317,0.43,0.47,2,135,3,0,1,0,sales,low,poor,very_poor
317,318,0.37,0.46,2,153,3,0,1,0,sales,low,poor,very_poor
318,319,0.11,0.94,6,276,4,0,1,0,sales,low,very_poor,excellent
319,320,0.4,0.46,2,130,3,0,1,0,sales,low,poor,very_poor
320,321,0.41,0.54,2,153,3,1,1,0,sales,low,poor,poor
321,322,0.82,0.84,5,244,5,0,1,0,sales,low,excellent,good
322,323,0.61,0.47,2,253,3,0,1,0,sales,low,average,very_poor
323,324,0.11,0.91,7,287,4,0,1,0,sales,low,very_poor,excellent
324,325,0.37,0.45,2,131,3,0,1,0,sales,low,poor,very_poor
325,326,0.41,0.52,2,135,3,0,1,0,sales,low,poor,poor
326,327,0.37,0.52,2,157,3,0,1,0,sales,low,poor,poor
327,328,0.88,0.99,5,262,6,0,1,0,sales,low,excellent,excellent
328,329,0.1,0.85,6,266,4,0,1,0,sales,low,very_poor,good
329,330,0.44,0.48,2,148,3,0,1,0,sales,low,poor,very_poor
330,331,0.38,0.57,2,140,3,0,1,0,sales,low,poor,poor
331,332,0.11,0.85,7,302,4,0,1,0,sales,low,very_poor,good
332,333,0.09,0.98,6,271,4,0,1,0,sales,low,very_poor,excellent
333,334,0.45,0.52,2,145,3,0,1,0,sales,medium,poor,poor
334,335,0.1,0.81,6,290,4,0,1,0,accounting,medium,very_poor,good
335,336,0.45,0.47,2,151,3,0,1,0,accounting,medium,poor,very_poor
336,337,0.77,0.87,5,266,5,0,1,0,accounting,medium,good,good
337,338,0.44,0.51,2,140,3,0,1,0,hr,medium,poor,poor
338,339,0.39,0.5,2,142,3,0,1,0,hr,medium,poor,poor
339,340,0.1,0.91,6,246,4,0,1,0,hr,medium,very_poor,excellent
340,341,0.09,0.89,7,308,5,0,1,0,hr,medium,very_poor,excellent
341,342,0.37,0.47,2,141,3,0,1,0,engineering,medium,poor,very_poor
342,343,0.9,1.0,5,232,5,0,1,0,engineering,medium,excellent,excellent
343,344,0.41,0.56,2,143,3,0,1,0,engineering,medium,poor,poor
344,345,0.37,0.52,2,155,3,0,1,0,engineering,medium,poor,poor
345,346,0.1,0.86,6,278,4,0,1,0,engineering,high,very_poor,good
346,347,0.81,1.0,4,253,5,0,1,0,engineering,low,good,excellent
347,348,0.11,0.8,6,282,4,0,1,0,engineering,medium,very_poor,good
348,349,0.11,0.84,7,264,4,0,1,0,engineering,medium,very_poor,good
349,350,0.4,0.46,2,149,3,0,1,0,engineering,medium,poor,very_poor
350,351,0.09,0.8,6,304,5,0,1,0,engineering,medium,very_poor,good
351,352,0.48,0.93,3,219,6,0,1,0,engineering,low,average,excellent
352,353,0.91,0.91,4,262,6,0,1,0,support,low,excellent,excellent
353,354,0.43,0.57,2,135,3,0,1,0,support,low,poor,poor
354,355,0.33,0.88,6,219,5,0,1,0,support,low,poor,excellent
355,356,0.41,0.57,2,136,3,0,1,0,support,low,poor,poor
356,357,0.41,0.55,2,154,3,0,1,0,support,low,poor,poor
357,358,0.37,0.54,2,149,3,0,1,0,support,low,poor,poor
358,359,0.31,0.62,6,135,5,0,1,0,support,low,poor,average
359,360,0.09,0.91,6,275,4,0,1,0,support,low,very_poor,excellent
360,361,0.1,0.87,6,290,4,0,1,0,support,low,very_poor,good
361,362,0.76,0.9,4,263,5,0,1,0,support,low,good,excellent
362,363,0.41,0.54,2,145,3,0,1,0,support,low,poor,poor
363,364,0.72,0.96,5,267,5,0,1,0,engineering,low,good,excellent
364,365,0.4,0.5,2,141,3,1,1,0,engineering,low,poor,poor
365,366,0.91,0.87,4,235,5,0,1,0,engineering,low,excellent,good
366,367,0.1,0.83,6,258,4,0,1,0,management,low,very_poor,good
367,368,0.4,0.56,2,131,3,0,1,0,IT,low,poor,poor
368,369,0.82,0.86,5,243,5,0,1,0,IT,low,excellent,good
369,370,0.1,0.82,6,266,4,0,1,0,IT,low,very_poor,good
370,371,0.37,0.45,2,142,3,0,1,0,IT,low,poor,very_poor
371,372,0.36,0.51,2,135,3,0,1,0,IT,low,poor,poor
372,373,0.39,0.48,2,141,3,0,1,0,product_mng,medium,poor,very_poor
373,374,0.36,0.57,2,142,3,0,1,0,product_mng,medium,poor,poor
374,375,0.86,0.84,5,254,5,0,1,0,product_mng,medium,excellent,good
375,376,0.73,0.99,5,262,5,0,1,0,product_mng,medium,good,excellent
376,377,0.56,0.71,4,296,2,0,1,0,IT,medium,average,average
377,378,0.44,0.56,2,158,3,0,1,0,accounting,medium,poor,poor
378,379,0.31,0.56,4,238,2,0,1,0,accounting,medium,poor,poor
